Date,Open,High,Low,Close,Volume
14-Nov-16,-,0.71,0.70,0.70,530205
11-Nov-16,0.72,0.72,0.71,0.71,700000
10-Nov-16,0.73,0.73,0.71,0.72,531072
9-Nov-16,0.72,0.73,0.72,0.73,42026
8-Nov-16,0.73,0.73,0.72,0.72,74535
7-Nov-16,0.73,0.74,0.73,0.73,919141
4-Nov-16,0.73,0.73,0.72,0.73,63710
3-Nov-16,0.74,0.74,0.72,0.72,95407
2-Nov-16,0.74,0.74,0.73,0.74,30810
1-Nov-16,0.73,0.74,0.73,0.73,91400
31-Oct-16,0.72,0.73,0.72,0.73,69196
28-Oct-16,0.74,0.74,0.73,0.73,33340
27-Oct-16,0.74,0.74,0.73,0.74,173262
26-Oct-16,0.72,0.73,0.72,0.73,87937
25-Oct-16,0.71,0.72,0.71,0.71,129042
24-Oct-16,0.74,0.74,0.71,0.71,567965
21-Oct-16,0.74,0.74,0.74,0.74,75385
20-Oct-16,0.75,0.75,0.74,0.74,104200
19-Oct-16,0.74,0.74,0.73,0.73,118400
18-Oct-16,0.75,0.75,0.74,0.74,842774
17-Oct-16,0.75,0.75,0.74,0.74,191384
14-Oct-16,0.74,0.75,0.74,0.75,797416
13-Oct-16,0.71,0.72,0.71,0.72,715441
12-Oct-16,0.72,0.72,0.72,0.72,152700
11-Oct-16,0.72,0.72,0.71,0.72,50000
10-Oct-16,0.70,0.72,0.70,0.71,382952
7-Oct-16,0.70,0.70,0.70,0.70,12000
6-Oct-16,0.72,0.72,0.71,0.71,122616
5-Oct-16,0.70,0.72,0.70,0.72,52064
4-Oct-16,0.70,0.70,0.70,0.70,481472
3-Oct-16,0.71,0.71,0.70,0.71,48562
30-Sep-16,0.70,0.71,0.69,0.70,125123
29-Sep-16,0.72,0.72,0.71,0.71,74642
28-Sep-16,0.72,0.72,0.71,0.72,45362
27-Sep-16,0.70,0.71,0.70,0.70,130000
26-Sep-16,0.72,0.72,0.70,0.71,27377
23-Sep-16,0.72,0.72,0.71,0.72,0
22-Sep-16,0.72,0.72,0.72,0.72,23850
21-Sep-16,0.71,0.72,0.70,0.72,11324
20-Sep-16,0.72,0.72,0.72,0.72,33386
19-Sep-16,0.72,0.72,0.72,0.72,1700
16-Sep-16,0.70,0.71,0.70,0.71,31141
15-Sep-16,0.71,0.71,0.71,0.71,19936
14-Sep-16,0.71,0.71,0.70,0.70,606719
13-Sep-16,0.72,0.72,0.71,0.72,92200
12-Sep-16,0.71,0.72,0.71,0.72,84050
9-Sep-16,0.71,0.71,0.71,0.71,34702
8-Sep-16,0.72,0.72,0.70,0.71,119645
7-Sep-16,0.71,0.72,0.71,0.71,424466
6-Sep-16,0.70,0.72,0.70,0.71,190200
5-Sep-16,0.71,0.71,0.70,0.71,19225
2-Sep-16,0.70,0.71,0.70,0.71,80914
1-Sep-16,0.70,0.70,0.69,0.70,709414
31-Aug-16,0.70,0.70,0.69,0.69,1212795
30-Aug-16,0.71,0.71,0.70,0.70,2901668
26-Aug-16,0.75,0.75,0.73,0.73,40500
25-Aug-16,0.76,0.76,0.75,0.75,305714
24-Aug-16,0.75,0.77,0.75,0.76,2262225
23-Aug-16,0.77,0.77,0.76,0.76,1622308
22-Aug-16,0.78,0.78,0.77,0.77,586381
19-Aug-16,0.78,0.79,0.78,0.78,337979
18-Aug-16,0.78,0.78,0.78,0.78,350306
17-Aug-16,0.78,0.78,0.77,0.78,291189
16-Aug-16,0.77,0.78,0.77,0.78,283012
15-Aug-16,0.78,0.79,0.78,0.78,394815
12-Aug-16,0.77,0.78,0.77,0.78,197598
11-Aug-16,0.78,0.78,0.77,0.77,164194
10-Aug-16,0.78,0.79,0.77,0.78,68991
9-Aug-16,0.77,0.77,0.77,0.77,141547
8-Aug-16,0.78,0.79,0.77,0.78,464920
5-Aug-16,0.76,0.78,0.76,0.76,358418
4-Aug-16,0.78,0.78,0.76,0.76,468920
3-Aug-16,0.75,0.76,0.75,0.76,652010
2-Aug-16,0.76,0.76,0.75,0.75,801033
1-Aug-16,0.76,0.77,0.76,0.77,113706
29-Jul-16,0.76,0.77,0.75,0.77,693250
28-Jul-16,0.78,0.78,0.76,0.77,330753
27-Jul-16,0.78,0.78,0.77,0.78,235026
26-Jul-16,0.80,0.80,0.78,0.78,177748
25-Jul-16,0.80,0.81,0.80,0.80,124162
22-Jul-16,0.77,0.78,0.77,0.78,134789
21-Jul-16,0.78,0.78,0.76,0.76,204757
20-Jul-16,0.79,0.79,0.77,0.77,352314
19-Jul-16,0.79,0.79,0.78,0.78,359574
18-Jul-16,0.79,0.80,0.79,0.80,611471
15-Jul-16,0.82,0.82,0.80,0.80,402250
14-Jul-16,0.82,0.83,0.82,0.82,652298
13-Jul-16,0.82,0.84,0.82,0.83,231471
12-Jul-16,0.80,0.81,0.79,0.80,230967
11-Jul-16,0.81,0.82,0.80,0.80,71553
8-Jul-16,0.80,0.81,0.80,0.81,376178
7-Jul-16,0.80,0.82,0.80,0.80,1063700
6-Jul-16,0.80,0.80,0.78,0.79,986003
5-Jul-16,0.80,0.80,0.78,0.78,763918
4-Jul-16,0.83,0.83,0.80,0.80,819653
1-Jul-16,0.82,0.82,0.80,0.80,1905968
30-Jun-16,0.83,0.84,0.62,0.83,1603481
29-Jun-16,0.85,0.86,0.84,0.84,1805117
28-Jun-16,0.86,0.87,0.86,0.86,294574
27-Jun-16,0.87,0.87,0.86,0.86,755812
24-Jun-16,0.86,0.86,0.85,0.86,181258
23-Jun-16,0.88,0.88,0.87,0.88,982117
22-Jun-16,0.89,0.89,0.88,0.88,419600
21-Jun-16,0.91,0.91,0.89,0.89,600635
20-Jun-16,0.91,0.92,0.91,0.92,98750
17-Jun-16,0.91,0.92,0.91,0.92,208036
16-Jun-16,0.92,0.92,0.90,0.90,133067
15-Jun-16,0.93,0.94,0.92,0.92,407945
14-Jun-16,0.93,0.94,0.92,0.92,249064
13-Jun-16,0.95,0.95,0.94,0.94,348500
10-Jun-16,0.96,0.97,0.96,0.97,299917
9-Jun-16,0.98,0.98,0.97,0.97,64000
3-Jun-16,0.92,0.94,0.92,0.92,503372
2-Jun-16,0.90,0.91,0.90,0.91,86900
1-Jun-16,0.89,0.90,0.88,0.90,101030
31-May-16,0.92,0.92,0.89,0.89,146515
27-May-16,0.91,0.91,0.91,0.91,67950
26-May-16,0.89,0.90,0.89,0.90,668101
25-May-16,0.89,0.89,0.89,0.89,167000
24-May-16,0.88,0.89,0.87,0.89,44628
23-May-16,0.88,0.88,0.88,0.88,75545
20-May-16,0.89,0.91,0.89,0.89,34790
19-May-16,0.90,0.90,0.89,0.90,5500
18-May-16,0.91,0.92,0.91,0.92,36936
17-May-16,0.90,0.92,0.90,0.92,133402
16-May-16,0.90,0.91,0.90,0.90,133500
13-May-16,0.89,0.91,0.89,0.91,254743
12-May-16,0.88,0.89,0.88,0.88,101310
11-May-16,0.88,0.88,0.87,0.87,937404
10-May-16,0.87,0.87,0.87,0.87,16559
9-May-16,0.89,0.89,0.87,0.87,19542
6-May-16,0.88,0.89,0.88,0.89,296544
5-May-16,0.89,0.90,0.88,0.89,36189
4-May-16,0.90,0.90,0.89,0.90,95368
3-May-16,0.93,0.94,0.90,0.92,415100
29-Apr-16,0.92,0.93,0.92,0.92,124694
28-Apr-16,0.92,0.94,0.92,0.94,12988
27-Apr-16,0.92,0.92,0.92,0.92,0
26-Apr-16,0.91,0.92,0.91,0.92,31233
25-Apr-16,0.91,0.92,0.90,0.90,44700
22-Apr-16,0.93,0.94,0.93,0.94,76003
21-Apr-16,0.99,0.99,0.95,0.95,1501005
20-Apr-16,0.94,0.95,0.94,0.95,62188
19-Apr-16,0.91,0.94,0.91,0.93,516468
18-Apr-16,0.90,0.91,0.90,0.91,149604
15-Apr-16,0.89,0.89,0.88,0.88,440805
14-Apr-16,0.89,0.90,0.88,0.88,69561
13-Apr-16,0.88,0.89,0.88,0.89,139180
12-Apr-16,0.86,0.87,0.86,0.87,58332
11-Apr-16,0.88,0.88,0.87,0.87,149620
8-Apr-16,0.89,0.89,0.89,0.89,15000
7-Apr-16,0.90,0.90,0.89,0.89,3790
6-Apr-16,0.91,0.91,0.90,0.90,60003
5-Apr-16,0.91,0.92,0.91,0.91,4599
4-Apr-16,0.92,0.92,0.91,0.91,66000
1-Apr-16,0.91,0.91,0.91,0.91,186568
31-Mar-16,0.90,0.90,0.89,0.90,73869
30-Mar-16,0.92,0.92,0.90,0.90,311193
29-Mar-16,0.91,0.91,0.91,0.91,36200
24-Mar-16,0.89,0.89,0.89,0.89,3235
23-Mar-16,0.90,0.90,0.90,0.90,17200
22-Mar-16,0.90,0.91,0.90,0.90,14555
21-Mar-16,0.90,0.91,0.90,0.90,120000
18-Mar-16,0.89,0.90,0.89,0.89,12500
17-Mar-16,0.92,0.92,0.91,0.91,129204
16-Mar-16,0.92,0.92,0.92,0.92,93479
15-Mar-16,0.92,0.92,0.92,0.92,21700
14-Mar-16,0.92,0.93,0.92,0.93,289108
11-Mar-16,0.92,0.92,0.92,0.92,272013
10-Mar-16,0.90,0.91,0.90,0.91,66806
9-Mar-16,0.90,0.90,0.90,0.90,35149
8-Mar-16,0.89,0.90,0.88,0.90,76667
7-Mar-16,0.90,0.91,0.89,0.90,86802
4-Mar-16,0.90,0.90,0.89,0.90,198068
3-Mar-16,0.88,0.88,0.87,0.88,500
2-Mar-16,0.86,0.87,0.86,0.87,432167
1-Mar-16,0.88,0.88,0.87,0.87,327071
29-Feb-16,0.88,0.88,0.88,0.88,501700
26-Feb-16,0.88,0.88,0.87,0.87,304000
25-Feb-16,0.88,0.88,0.88,0.88,80000
24-Feb-16,0.88,0.88,0.87,0.87,85314
23-Feb-16,0.90,0.90,0.89,0.89,57973
22-Feb-16,0.91,0.91,0.90,0.90,34878
19-Feb-16,0.90,0.90,0.90,0.90,0
18-Feb-16,0.91,0.92,0.91,0.91,106372
17-Feb-16,0.90,0.92,0.90,0.91,131575
16-Feb-16,0.91,0.91,0.90,0.90,192276
15-Feb-16,-,-,-,0.90,0
12-Feb-16,0.90,0.90,0.90,0.90,500
11-Feb-16,0.90,0.90,0.90,0.90,13870
10-Feb-16,0.90,0.90,0.89,0.90,28000
9-Feb-16,0.90,0.90,0.89,0.89,1041522
8-Feb-16,0.91,0.91,0.90,0.90,21576
5-Feb-16,0.92,0.92,0.91,0.91,101116
4-Feb-16,0.94,0.94,0.94,0.94,10038
3-Feb-16,0.93,0.93,0.93,0.93,20420
2-Feb-16,0.93,0.94,0.93,0.94,99040
1-Feb-16,0.92,0.93,0.92,0.93,4000
29-Jan-16,0.92,0.93,0.92,0.93,151500
28-Jan-16,0.93,0.93,0.92,0.92,131828
27-Jan-16,0.95,0.95,0.94,0.94,46252
26-Jan-16,0.94,0.95,0.94,0.95,107791
25-Jan-16,0.93,0.94,0.93,0.94,1218000
22-Jan-16,0.93,0.93,0.93,0.93,330906
21-Jan-16,0.92,0.93,0.92,0.93,23996
20-Jan-16,0.92,0.92,0.92,0.92,25525
19-Jan-16,0.92,0.94,0.92,0.93,337582
18-Jan-16,0.90,0.93,0.90,0.92,6418
15-Jan-16,0.92,0.92,0.90,0.90,34560
14-Jan-16,0.93,0.93,0.92,0.92,16240
13-Jan-16,0.93,0.94,0.93,0.94,380323
12-Jan-16,0.91,0.92,0.91,0.91,2960780
11-Jan-16,0.93,0.93,0.92,0.92,250738
8-Jan-16,0.92,0.93,0.92,0.93,72933
7-Jan-16,0.90,0.91,0.89,0.91,82223
6-Jan-16,0.90,0.90,0.90,0.90,422185
5-Jan-16,0.90,0.91,0.90,0.90,401053
4-Jan-16,0.92,0.92,0.90,0.90,195702
31-Dec-15,0.92,0.92,0.92,0.92,0
30-Dec-15,0.93,0.94,0.92,0.92,24838
29-Dec-15,0.92,0.92,0.91,0.91,211895
24-Dec-15,0.92,0.92,0.92,0.92,54171
23-Dec-15,0.92,0.92,0.92,0.92,104250
22-Dec-15,0.94,0.94,0.94,0.94,38900
21-Dec-15,0.95,0.95,0.95,0.95,474990
18-Dec-15,0.94,0.97,0.94,0.97,105900
16-Dec-15,0.96,0.96,0.96,0.96,7646
15-Dec-15,0.96,0.96,0.96,0.96,300
14-Dec-15,0.96,0.96,0.95,0.95,510000
11-Dec-15,0.97,0.97,0.96,0.96,62800
10-Dec-15,0.95,0.97,0.95,0.97,112000
9-Dec-15,0.94,0.95,0.93,0.95,269021
8-Dec-15,0.94,0.94,0.93,0.94,36752
7-Dec-15,0.96,0.96,0.95,0.96,111
4-Dec-15,0.94,0.94,0.93,0.93,68935
3-Dec-15,0.92,0.92,0.91,0.92,136547
2-Dec-15,0.92,0.92,0.91,0.91,274610
1-Dec-15,0.93,0.94,0.93,0.93,59779
30-Nov-15,0.94,0.94,0.93,0.93,47116
27-Nov-15,0.94,0.96,0.94,0.94,36000
26-Nov-15,0.97,0.97,0.95,0.96,380362
25-Nov-15,0.96,0.96,0.96,0.96,217169
24-Nov-15,0.97,0.97,0.96,0.97,36000
23-Nov-15,0.95,0.96,0.95,0.96,190000
20-Nov-15,0.96,0.97,0.96,0.96,80510
19-Nov-15,0.95,0.96,0.95,0.96,225834
18-Nov-15,0.95,0.96,0.95,0.95,66899
17-Nov-15,0.96,0.96,0.96,0.96,192373
